DateHour,Actual_kwh,Pred_Arima,Pred_Sarima,Pred_Prophet
2014-02-21 00:00:00,1801.6969987,1891.809689540204,1846.7258559309962,1780.0249685190142
2014-02-21 01:00:00,1428.556,1772.187049278629,1511.1567277186152,1449.419340763508
2014-02-21 02:00:00,1249.4869992,1775.1691198709161,1364.256212314836,1168.816898563592
2014-02-21 03:00:00,1158.9610010000001,1846.2400536555774,1288.1821920470409,1000.3906877360816
2014-02-21 04:00:00,1172.2319997999998,1959.0802471172663,1282.4487583422895,1059.562567403905
2014-02-21 05:00:00,1319.5079998,2098.767442223968,1412.1531028693696,1325.876999691032
2014-02-21 06:00:00,1664.3360001,2249.7664056684725,1722.170322965706,1703.8746090923644
2014-02-21 07:00:00,2074.3750013999997,2397.376313033541,2111.5658516405406,2043.3368211318004
2014-02-21 08:00:00,2295.2490000999996,2528.9332672313594,2311.13558407242,2249.645052300386
2014-02-21 09:00:00,2274.8069990000004,2634.6904534914083,2268.410679498937,2312.8874915592073
2014-02-21 10:00:00,2203.6520001,2708.336120947608,2244.8462108579497,2291.156312496795
2014-02-21 11:00:00,2133.571999,2747.1463390631047,2215.586172391088,2254.849121627051
2014-02-21 12:00:00,2164.2389997,2751.8021622526194,2274.0825746960277,2216.8576873319234
2014-02-21 13:00:00,2096.1650001999997,2725.9270365486914,2231.7330471426135,2159.287885250826
2014-02-21 14:00:00,2010.3669998,2675.418445306927,2122.581907890462,2207.3059882309744
2014-02-21 15:00:00,2120.9549993,2607.6572588645686,2155.319610345036,2399.888160986139
2014-02-21 16:00:00,2352.2619999,2530.679215175706,2368.668193665519,2776.9674438149755
2014-02-21 17:00:00,2991.7370004,2452.386334597275,2951.934051245482,3241.587823381349
2014-02-21 18:00:00,3558.6770001,2379.863344760667,3408.2084434794338,3612.8402735365435
2014-02-21 19:00:00,3492.3099994,2318.8472084148607,3377.6107138325087,3694.069909971611
2014-02-21 20:00:00,3228.1329988999996,2273.37861421186,3194.503995888295,3471.2757453943823
2014-02-21 21:00:00,3019.1130003,2245.644775681223,2959.241399392134,3042.893892239119
2014-02-21 22:00:00,2608.2370011000003,2236.004847570669,2589.5837008567382,2549.8641469351073
2014-02-21 23:00:00,2245.0940001,2243.1741329003776,2189.2224811653173,2143.278305381053
2014-02-22 00:00:00,1867.8249985,2264.5320154200945,1876.7165009402368,1775.6728823929907
2014-02-22 01:00:00,1506.4960006000001,2296.5117448865876,1567.6410140451908,1457.4765513190537
2014-02-22 02:00:00,1314.5310001,2335.0279055866304,1432.6450918242676,1165.165313039054
2014-02-22 03:00:00,1208.5220007,2375.899282202518,1362.9101024149102,997.327051684957
2014-02-22 04:00:00,1165.4409995,2415.2302407707994,1358.0297850297807,1057.2733171902862
2014-02-22 05:00:00,1275.6140000999999,2449.721771962281,1478.1801094579632,1324.5657357618766
2014-02-22 06:00:00,1479.946,2476.892978302944,1764.8459086513499,1703.7585764933885
2014-02-22 07:00:00,1883.409999,2495.2039839331314,2124.7917556750353,2044.6430535686743
2014-02-22 08:00:00,2231.4300006000003,2504.0810361022714,2309.312606466034,2252.606231526051
2014-02-22 09:00:00,2364.1180000000004,2503.8531333093542,2269.942870462708,2317.7375789996777
2014-02-22 10:00:00,2357.8639998999997,2495.61624243673,2248.250345949649,2298.1260134230893
2014-02-22 11:00:00,2325.6690016000002,2481.045678170907,2221.27654986896,2264.161245294765
2014-02-22 12:00:00,2373.6239994,2462.1793751036525,2275.3669218366767,2228.72246865713
2014-02-22 13:00:00,2358.7500008,2441.194673362781,2236.2742387651037,2173.898334891953
2014-02-22 14:00:00,2284.9769995,2420.199139945211,2135.454884877423,2212.7027292791695
2014-02-22 15:00:00,2269.5949996,2401.0522808861906,2165.72109161211,2408.346864551116
2014-02-22 16:00:00,2553.3130002,2385.230273862085,2362.8498820574227,2800.7334470574083
2014-02-22 17:00:00,3094.6759988,2373.740610093897,2901.743593797341,3268.6110387489425
2014-02-22 18:00:00,3610.2230014,2367.0883032024744,3323.306479952393,3643.163494716952
2014-02-22 19:00:00,3451.8409985999997,2365.290562832902,3295.0435547919324,3739.825698075576
2014-02-22 20:00:00,3170.108001,2367.9329079914623,3125.8751950316014,3508.1613377206813
2014-02-22 21:00:00,2931.9810009000003,2374.2568574298793,2908.5185522473917,3082.9527071305874
2014-02-22 22:00:00,2619.1720008,2383.267704983583,2566.992659717938,2605.0923519651324
2014-02-22 23:00:00,2263.3770015,2393.850467984596,2197.0989380170386,2177.101355098951
2014-02-23 00:00:00,1867.8849998,2404.8827809536356,1908.3746210346599,1824.2511884670794
2014-02-23 01:00:00,1500.4489992,2415.3351037569155,1622.8193630513108,1484.1383763530082
2014-02-23 02:00:00,1280.5599999,2424.350874085542,1498.0968420327204,1205.9749176197013
2014-02-23 03:00:00,1175.7930004999998,2431.3018799782285,1433.6690183003038,1039.7800791125007
2014-02-23 04:00:00,1132.8129996,2435.816879474967,1429.1605998939183,1076.6907291121604
2014-02-23 05:00:00,1194.0380008,2437.7840953825335,1540.168526077611,1344.749585345194
2014-02-23 06:00:00,1362.4100005,2437.3304511374117,1805.020885549851,1724.2116794806711
2014-02-23 07:00:00,1708.8999996,2434.7821336686256,2137.576996118511,2064.8341007573426
2014-02-23 08:00:00,2207.1250002,2430.6121799841103,2308.056965232189,2271.9742149444323
2014-02-23 09:00:00,2461.769999,2425.381259583324,2271.6831900914844,2335.696705959791
2014-02-23 10:00:00,2572.9099981,2419.677697742613,2251.6414522615282,2338.332275990009
2014-02-23 11:00:00,2706.4390012,2414.0621376543813,2226.720295176996,2301.7344974487014
2014-02-23 12:00:00,2821.6909993,2409.0211910371395,2276.694734802298,2263.0361308534902
2014-02-23 13:00:00,2784.1219998,2404.9331173726973,2240.5768411791933,2231.0118172396833
2014-02-23 14:00:00,2778.6549991,2402.0471481139216,2147.4293380819136,2262.8797714716293
2014-02-23 15:00:00,2771.1129996,2400.4766735685134,2175.3924722980487,2453.4025097256485
2014-02-23 16:00:00,2919.1209998,2400.205257514215,2357.5208273391127,2815.813736960362
2014-02-23 17:00:00,3398.3469986,2401.1034315562833,2855.407602885293,3289.53997103359
2014-02-23 18:00:00,3811.7979993,2402.9535091486964,3244.89180229847,3645.143379100621
2014-02-23 19:00:00,3706.9269994,2405.4792755310546,3218.779543983884,3722.3576653153677
2014-02-23 20:00:00,3382.4220003,2408.377349735993,3062.4840046061945,3495.0513075485405
2014-02-23 21:00:00,3063.9919996999997,2411.347245384418,2861.667053203356,3049.533351195063
2014-02-23 22:00:00,2599.0379995000003,2414.1176234589625,2546.12947162773,2563.142554939807
2014-02-23 23:00:00,2064.6700005000002,2416.4668634701834,2204.3827012105844,2150.5897086134346
2014-02-24 00:00:00,1734.4709996000001,2418.2368036586668,1937.628774058016,1788.687111748671
2014-02-24 01:00:00,1400.8000007,2419.3392412583617,1673.8027568373316,1463.6205553247994
2014-02-24 02:00:00,1229.0119995,2419.755472945352,1558.5709587363633,1164.018741135063
2014-02-24 03:00:00,1157.6800008999999,2419.529738482058,1499.0457512587916,988.4953502761339
2014-02-24 04:00:00,1149.5190005,2418.7578682003905,1494.8804002400195,1028.260736783344
2014-02-24 05:00:00,1308.3769998,2417.5727057778204,1597.4412130680307,1287.170647176913
2014-02-24 06:00:00,1743.6719999,2416.1279774903846,1842.1397144048105,1657.6849676246857
2014-02-24 07:00:00,2274.8570001999997,2414.582219163652,2149.3900707057614,1989.634260708067
2014-02-24 08:00:00,2289.1860001,2413.0841765622035,2306.897419426261,2188.4478241874076
2014-02-24 09:00:00,2104.3279991,2411.7607972734913,2273.2914956451477,2244.259973533934
2014-02-24 10:00:00,2017.2319993,2410.7085706757734,2254.7748277966166,2227.337392795325
2014-02-24 11:00:00,1957.3380009,2409.9885868601286,2231.750038564059,2171.727101293723
2014-02-24 12:00:00,1967.4790011999999,2409.625312407442,2277.921688708557,2126.7508767060863
2014-02-24 13:00:00,1912.7980002999998,2409.6087522061007,2244.5521751060132,2074.5493656482217
2014-02-24 14:00:00,1939.4780001,2409.8994058992994,2158.4927025419274,2103.9280684094283
2014-02-24 15:00:00,2068.8030005,2410.435250088159,2184.327990725065,2302.4126705537747
2014-02-24 16:00:00,2477.0450005000002,2411.139888972048,2352.5973448420555,2673.5672990388825
2014-02-24 17:00:00,3114.6290019,2411.93101399054,2812.5975799339335,3144.7157576399704
2014-02-24 18:00:00,3642.9780001,2412.7283872296416,3172.444099452083,3498.571389313781
2014-02-24 19:00:00,3598.6459995,2413.460698284275,3148.3188453828993,3574.8809009277156
2014-02-24 20:00:00,3330.8159998,2414.0708208118112,3003.9165668290957,3323.256836608776
2014-02-24 21:00:00,3008.8959991,2414.519192625777,2818.38071935117,2878.5281732540175
2014-02-24 22:00:00,2528.4850007,2414.785241885043,2526.8538726343145,2393.7621703657846
2014-02-24 23:00:00,2006.6799983,2414.866964016124,2211.1122172081646,1971.5210488894866
2014-02-25 00:00:00,1629.2960011999999,2414.7789053135916,1964.6568477900478,1624.9834779991447
2014-02-25 01:00:00,1320.4010006,2414.5489199406175,1720.9065899008406,1291.780118371194
2014-02-25 02:00:00,1182.9150003,2414.214132282801,1614.443319902401,1009.0225184720296
2014-02-25 03:00:00,1117.5320001,2413.8165559018425,1559.4476647117833,851.0170703948654
2014-02-25 04:00:00,1123.6000002,2413.3987974114625,1555.5992747936873,908.9220606477934
2014-02-25 05:00:00,1294.0020001,2413.0002154734298,1650.355754233781,1162.2745021842527
2014-02-25 06:00:00,1735.586,2412.653821090046,1876.4339986575374,1539.8637518457122
2014-02-25 07:00:00,2232.1259994,2412.3841059472456,2160.304233953462,1879.3232229468163
2014-02-25 08:00:00,2215.4759994,2412.2058813586696,2305.8261096005613,2086.012190647751
2014-02-25 09:00:00,2108.1709996,2412.124111163303,2274.777418214642,2174.2534201189096
2014-02-25 10:00:00,2087.5399987,2412.1346359255954,2257.6697704895637,2165.716408126503
2014-02-25 11:00:00,2012.9910002000001,2412.225619030294,2236.3970454853456,2167.155876986847
2014-02-25 12:00:00,1983.4980008,2412.379501388746,2279.055278166753,2118.641761190753
2014-02-25 13:00:00,1952.7009991,2412.575231658844,2248.2250073997056,2075.0223821082745
2014-02-25 14:00:00,1914.6220002,2412.790542037926,2168.7142038313214,2100.7672059573965
2014-02-25 15:00:00,1970.3100007,2413.004062823109,2192.5835637363252,2295.4596402558664
2014-02-25 16:00:00,2287.4930012,2413.1971076386703,2348.048513301565,2674.7242011440576
2014-02-25 17:00:00,2902.7910008,2413.3550102398626,2773.045172519893,3153.687234525605
2014-02-25 18:00:00,3590.644001,2413.467947561785,3105.509282230641,3514.9992671425225
2014-02-25 19:00:00,3635.3910001,2413.53123687145,3083.2198319216827,3610.4794429192884
2014-02-25 20:00:00,3380.2389992999997,2413.5451428607157,2949.805800173166,3389.687333196189
2014-02-25 21:00:00,3073.8869989,2413.514269656427,2778.3882457286504,2951.012806530065
2014-02-25 22:00:00,2622.1350006000002,2413.4466406025012,2509.0450444097187,2471.7431760598574
2014-02-25 23:00:00,2063.4899991,2413.3525841498836,2217.3296527743937,2054.4059670573506
2014-02-26 00:00:00,1696.5379989,2413.243547368888,1989.6282286040553,1700.0212894854958
2014-02-26 01:00:00,1381.8320013,2413.130950646728,1764.4260713359815,1382.5906250001326
2014-02-26 02:00:00,1217.1779996999999,2413.0251800698948,1666.0640909997,1090.6891412357093
2014-02-26 03:00:00,1141.9549999,2412.9347904032206,1615.2533132120207,935.0082122852255
2014-02-26 04:00:00,1152.9109998,2412.8659643235333,1611.6977653366307,982.4451170137518
2014-02-26 05:00:00,1305.3319998000002,2412.8222454910892,1699.2437797278726,1248.9358393419836
2014-02-26 06:00:00,1801.6930002,2412.8045367281966,1908.1186699392765,1626.8917857016068
2014-02-26 07:00:00,2277.1209995,2412.811332142485,2170.387887319536,1966.0973144975574
2014-02-26 08:00:00,2245.7039992,2412.839135008834,2304.8363207661973,2171.938151671205
2014-02-26 09:00:00,2072.0569995,2412.8830024766753,2276.1502699656357,2222.3773909052966
2014-02-26 10:00:00,1962.8559995,2412.9371539078593,2260.3444234125586,2211.90557455617
2014-02-26 11:00:00,1916.7470011,2412.9955814853975,2240.6904398500146,2174.5358731057
2014-02-26 12:00:00,1946.164,2413.0526087823587,2280.1026074853944,2135.298728704206
2014-02-26 13:00:00,1924.7549998,2413.1033540031026,2251.618356654145,2088.43919230504
2014-02-26 14:00:00,1882.4029999,2413.1440681607696,2178.157903135949,2110.6100033804155
2014-02-26 15:00:00,1930.1199993999999,2413.172333037267,2200.2109314681625,2301.449456848705
2014-02-26 16:00:00,2160.3829997,2413.1871179725504,2343.8458236928855,2688.7691072426674
2014-02-26 17:00:00,2814.7940002,2413.1887071370493,2736.5024933370937,3151.36075593419
2014-02-26 18:00:00,3476.5659996,2413.178519027113,3043.667849260953,3520.454815203776
2014-02-26 19:00:00,3582.6770005,2413.1588468935706,3023.074507791839,3611.535539881994
2014-02-26 20:00:00,3352.0889988,2413.132552419123,2899.812575600349,3386.348878211179
2014-02-26 21:00:00,3043.6389986000004,2413.1027452797807,2741.4389870395958,2943.338662452683
2014-02-26 22:00:00,2611.5710005,2413.072478618886,2492.591373470778,2471.9743741732045
2014-02-26 23:00:00,2052.111,2413.0444855058754,2223.073974500732,2050.5709151013634
2014-02-27 00:00:00,1710.2790000999998,2413.0209748621555,2012.6994199044393,1692.324120982951
2014-02-27 01:00:00,1355.2390004,2413.0034978894987,1804.6339512670813,1359.1460422237778
2014-02-27 02:00:00,1212.78,2412.992888492587,1713.7567954572226,1051.7792913478013
2014-02-27 03:00:00,1141.5549998000001,2412.989274225876,1666.8124481184996,880.9473949372948
2014-02-27 04:00:00,1138.7830001,2412.9921484631154,1663.527458560984,925.7054343400298
2014-02-27 05:00:00,1332.2330003000002,2413.0004901683383,1744.4116860151807,1189.8808110413065
2014-02-27 06:00:00,1761.3490007,2413.0129150435478,1937.392305941834,1565.9016535790583
2014-02-27 07:00:00,2331.7979989,2413.0278409683347,2179.704228195844,1903.5636708641682
2014-02-27 08:00:00,2300.9359995,2413.043651400401,2303.9218496076087,2108.2585713618964
2014-02-27 09:00:00,2114.3329986999997,2413.058842516028,2277.4186549864794,2170.0807456434095
2014-02-27 10:00:00,2016.2729991,2413.0721429889136,2262.815549447124,2171.385661209728
2014-02-27 11:00:00,1933.1479996,2413.082599039168,2244.6571296960024,2134.0464663810003
2014-02-27 12:00:00,1988.3660005000002,2413.089621328653,2281.0702406028754,2095.2101198948685
2014-02-27 13:00:00,1919.6529999,2413.092994060191,2254.7534900446954,2049.1032258958917
2014-02-27 14:00:00,1922.5679995,2413.0928499411266,2186.8829870575414,2084.4867092602235
