model,MAE,RMSE,MAPE
ARIMA,636.1038002528694,745.5693426551378,35.05866400802379
SARIMA,243.1505335071578,296.8025778771807,12.529814638918774
Prophet,153.98003277713798,207.2533577641912,7.587395925796613
